Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2022,2022,kg/ha,898.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2023,2023,kg/ha,952.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2024,2024,kg/ha,1028,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2010,2010,kg/ha,2483.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2011,2011,kg/ha,2493.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2012,2012,kg/ha,2493,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2013,2013,kg/ha,2645.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2014,2014,kg/ha,2588.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2015,2015,kg/ha,2637.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2016,2016,kg/ha,2686.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2017,2017,kg/ha,2937.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2018,2018,kg/ha,3023.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2019,2019,kg/ha,2998.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2020,2020,kg/ha,3161.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2021,2021,kg/ha,3303.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2022,2022,kg/ha,3395.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2023,2023,kg/ha,3326.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,112,Maize (corn),2024,2024,kg/ha,3544.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2010,2010,kg/ha,7056.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2011,2011,kg/ha,7054.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2012,2012,kg/ha,7200.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2013,2013,kg/ha,7748.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2014,2014,kg/ha,7937.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2015,2015,kg/ha,9348.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2016,2016,kg/ha,9210.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2017,2017,kg/ha,9437.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2018,2018,kg/ha,9879.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2019,2019,kg/ha,9965.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2020,2020,kg/ha,9541.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2021,2021,kg/ha,9512.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2022,2022,kg/ha,9726,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2023,2023,kg/ha,9724.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1316,"Mangoes, guavas and mangosteens",2024,2024,kg/ha,10068.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2010,2010,kg/ha,1105.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2011,2011,kg/ha,1171.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2012,2012,kg/ha,1205,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2013,2013,kg/ha,1204,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2014,2014,kg/ha,1275.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2015,2015,kg/ha,1152.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,118,Millet,2016,2016,kg/ha,1270.9,A,Official figure,
